文件	增长	通胀	货币政策	市场
19990625 FOMC Bluebook_Password_Removed	当前市场已经fully price in一次加息，并且对于未来的加息预期显著上升，预计在未来一年加息3个25bp。（这六周当中，股市走平，加息路径大幅抬升；在1月底到6月，整体是加息预期上升，债券收益率持续上升，而股市则是纳斯达克大体震荡略微上升，道琼斯则是有上升趋势，在利率上升时更为抗跌。均符合经济回暖但尚无显著通胀风险的情形）			
19990625 GS UEA How Much Tightening by the Fed	最近增长有略微放缓迹象，但too little too late, 联储6月必将加息。当前宽松的金融条件说明货币政策还没有进入紧缩水平。		1999年联储不会急剧紧缩，但2000年随着全球复苏巩固，联储可能会加快加息。	
19990625 JPM_Global_Data_Watch_Ge_1999-06-25_19990625	美国2季度增长比预期的还要强。日本survey也出现积极信号。		虽然联储加息，但其他央行不会跟随加息。	
19990630 FOMC Transcript_Password_Removed	"（格林斯潘上来就重复他的固有观点：科技快速进步推升了生产率，这个过程尚未结束，通胀压力实际上比greenbook模型所估计的低）
格林斯潘：最新的SP500的5年盈利增速预期比去年秋天高了整整0.5pp，企业在告诉分析师们长期盈利趋势在上升，并且主要来自内需，背后是信息科技进步，互联网的应用扩展。What is increasingly evident is that something seems to be happening that none of us has ever witnessed before--perhaps a once-in-a-century structural shift in how goods and services are produced. People in the front lines of business operations, such as Jack Welch of GE and Lou Gerstner of IBM, say this is a true revolution. They have seen nothing like this in their experience. And I venture to say that if we get on the phone with a number of business people who have been around a long time, we are going to hear this view from all of them. No one is saying that this accumulative, technology-driven productivity growth is showing any signs of slowing.（格林斯潘很相信这些草根消息，即科技在快速进步。这些高管的乐观情绪也不是假的，但他们难道看不到自己的盈利并不高吗？看来这些高管内心是真实的很乐观的。这些高管的乐观情绪深深的影响到了格林斯潘）
    如何判断增长过热？当前汽车、房地产都很强，但这不是过热证据。证据是价格上涨，这个并未看到。How do we know when an economy is overheating? We cannot tell from the rate of economic growth by itself... We cannot tell until we look at the combination of aggregate supply and aggregate demand... If we have a situation in which effective demand exceeds potential supply, then prices rise. （格林斯潘要看到通胀上升再加息）"		"格林斯潘：
    如果按照staff的预测，那么当前可以加息50bp并保持symmetric。
    我确实觉得4.75%的水平不舒服，我们需要加息到5%来undo去年75bp降息的一部分。
    我建议加息25bp，但保持symmetric"	（整体感觉是，格林斯潘对于生产率进步更乐观，偏鸽派，愿意让经济再试探一下非通胀的可持续增速的天花板）
19990701 BCA, The Bank Credit Analyst THE STATE OF THE GLOBAL ECONOMY	"[股市与联储的角力]
    （当前增长超出潜在增速）增长需要降温，如果股市下跌15-20pp，那么这一轮加息是不需要总共加75-100bp的。实际上，当前债券收益率曲线已经discount了不少加息，债券市场已经帮联储把债券市场定价搞定了，但问题在于，当前金融条件仍然很松，经济也没有放缓的迹象。金融条件比较松的关键在于股市。这里有些矛盾之处在于，股市预期经济会软着陆，这意味着股市不下跌，但如果股市不下跌，则增长几乎没有可能会放缓。
    当前的情形与1987年类似。当时股市也是投机性的泡沫，尽管短端和长端收益率不断上升，股票却持续上涨，直到债券收益率最终压垮股市。但美国经济到1989年联储再度收紧后才放缓。1987年的股灾当然有可能再现，但不是基准情形，1987年的时候美元太弱了，导致美债收益率上升压力很大，现在美元较强。

[全球经济回升]
    全球在回升，其中新兴亚洲的急速回升起到引领作用。韩国的回升比1995年的墨西哥回升更为强劲。本来全球走弱是从1997年亚洲危机开始的。当前的韩国回升是V形回升，这与最初的市场广泛认为的U形很不一样。韩国的复苏不容易，其他亚洲经济体还没有明显回升，中国仍面临通缩压力，CPIyoy已经连续四年为负，日本也依然疲弱。
    Q1的日本、德国增长均超过预期。拉美复苏最晚，不过拉美本来也是最晚进入衰退的经济区域。当巴西货币贬值时，市场广泛猜测阿根廷货币也将贬值并进而传导至墨西哥，但这并未发生。
    不过，商品价格依然在低位，说明复苏尚在初步阶段。
    全球复苏的关键原因是政策愈发刺激性。在亚洲金融危机最初阶段，亚洲国家被迫采取紧缩的货币和财政政策，而这也得到IMF支持。这些政策是对于通缩冲击的错误政策，明显加大了经济收缩程度。同时，日本、欧洲采取了比较自满的情绪并且让政策保持太紧了。欧洲保持利率不变，这使得通胀走弱情况下的真实利率上升。
    随着美联储加息，未来美国经济的走弱，我们认为不会把全球经济就这么带下水。"	"The dynamics of the present cycle are very different from those of the past because there is a deflationary undertone to the global economy that is unique in the post-WWII period.
    最重要的是，在高科技领域的投资推升生产率进步，抑制了成本增加。
    过去两年全球通缩环境实际上利好美国金融市场。但随着全球经济复苏，商品部门的通缩也会随之结束。"	格林斯潘乐于是试探一下经济的speed limit. 尽管最近有人对联储有鸽派解读，但关键是，如果经济不放缓，联储就会继续加息（理解错误。格林斯潘并不关注增长的绝对水平，在他的transcript里面很清楚。他要实际看到通胀才加息）	"债券市场。债券市场在短短几个月从极度牛市变为极度熊市。在1998年10月，全球通缩螺旋风险的威胁是切实存在的，以至于债券高估程度被推升到了1986年、1993年的那种高水平。然而，现在市场开始担心通胀风险，债券已经深度低估了。
    债券市场的转折点是很难timing的，因此投资者随着收益率上升到低估阶段，应当逐步开始加仓债券。在当前情况下，债券的未来一年预期收益是很好的。（从7月到11月，收益率基本高位走平；到12月，债券出现了最后一跌，而这一跌也非常惨烈）
    股票市场继续非常危险。股票市场有三个分析维度，货币条件，技术指标，估值。当前这三个指标都很差，并且更差。货币条件已经深度恶化，因为收益率上升。技术指标也很差，breadth改善已经结束，momentum也减弱，大量的投机和过度自信。（NYSE Advance/Decline Lines在1997年以后就走平，这对应着当时股市泡沫的兴起；NASDAQ AD则是在1998年秋天开始急剧恶化。）
    股市盈利前景也不好。而且当前有大量的ongoing manipulation of reported earnings, including the continued use of major write offs. 更短期来看，Q1的商品价格不如labor cost上升的快，marign是下降的，这也不利。虽然Q1盈利回升，但盈利内在趋势存疑。"
19990701 PIMCO Muhammad Alan Puts Up His Dukes _ PIMCO	"格林斯潘联储的neutral立场是超预期的，但我预计后续还要加息。
    去年联储降息的时候，当时对于新兴市场的金融稳定性的担心是合理的，俄罗斯违约，巴西即将违约，有传闻中国也可能初问题。The Fed cut interest rates, not to save U.S. jobs or profits in the short-term, but to signal other countries that we had become partners in this new-age global economy. Our prosperity over the long-term depended upon their health, and vice versa, Greenspan reckoned. 这是联储的重大转变。在这之前，联储的唯一关注点是国内通胀和国内就业。
    联储当前要看如下几个事情：生产率进步，全球经济复苏程度，股价和房价。当前仍然有担心全球再度走弱，这是当前联储决定neutral的原因。但当前美国股市和房地产市场如果继续火热下去，这最终会带来通胀压力。1997年的change in tax laws made it possible to shelter the first $500,000 of capital gains from the sales of a home. 
    当前全球经济没有放缓迹象，股市依然高涨，只有房地产有一定走弱迹象。我猜测联储最终还要再加息。"			（Gross的对于联储关注EM的评论，让我想起两个事情。第一，2016年耶伦停止加息，事后她说这是联储首次关注国外情况，这言过其实了，1998年降息难道不是吗。第二，1995年墨西哥汇率出问题以后，好像联储也没有再加息，当时受到海外情况影响了吗）
19990702 GS UEA The FOMC Surprises by its Words, but Not by its Deed	从供给端，当前经济领头羊从建筑行业转向工业。NAMP继续回升。消费者信心处于历史最高水平，强劲的消费把储蓄率推至更低水平。		联储加息符合预期，但回归neutral是超出预期的。	
19990702 JPM_Global_Data_Watch_U__1999-07-02_19990702	当前欧洲有望接力成为复苏动力，亚洲经济体复苏强劲。			
19990709 GS UEA What's Up with U.S. Productivity	零售数据不错，经济整体还是继续向好。			当前市场参与者对于联储neutral的表态的解读有分歧。有人认为并不重要，1994年以来常常发生；有人认为重要，联储的表态意味着未来加息倾向减少。还需要等待进一步联储的解释。
19990709 JPM_Global_Data_Watch_Gl_1999-07-09_19990709	全球经济复苏推升商品价格。			
19990716 GS UEA Y2K Keeps Corporate Credit Spreads Wide	（这里又给出了失业率 vs. manf capacity的图，确实是在1996年开始分化的。即从此以后企业在不计			格林斯潘在听证会上的表态，显然超出了市场预期。格林斯潘暗示存在进一步加息的可能，债券市场sell off.
19990801 BCA, The Bank Credit Analyst EAVESDROPPING ON THE FOMC WHAT IS THE FED UP TO	"当前的股市和私人部门信贷很繁荣，说明金融条件依然非常有刺激性，然而联储并没有着急加息。
    生产率数据的上升，也佐证了我们的长期看法，即美国仍处在一个长期生产率进步的开始阶段（BCA一样过度乐观，对长期过度乐观）"	尽管当前没有通胀迹象，但持续的高于趋势的增速和全球复苏意味着通胀压力将缓慢上升。	"由于通胀压力的缓慢上，联储将会再加息50-75bp。
（1999年联储的最大问题是，通胀一直没起来，这给格林斯潘测试增长上限、股市上限开了绿灯）（这不是跟现在2020年很像吗）"	"Another factor to consider is the seemingly widespread manipulation of earnings. Warren Buffett has been particularly outspoken in his criticism of the inadequate accounting for stock options and the misuse of write-offs. The Chairman of the SEC is also becoming concerned and that could signal more rigorous accounting rules down the road. In the meantime, companies and the Wall Street establishment are happy to play what appears to be a win-win game of manipulating expectations with the aim of propping up share prices as much as possible
    债券中性配置。当前债券收益率已经难以再大幅上升了，因为已经很低估了。"
19990806 GS UEA The Economic Impact of Y2K--An Update	NAPM虽然边际下降但仍维持高位。就业数据很强劲。Y2K问题应该会给经济带来负面冲击，但不是灾难性问题。（GS开始谈论Y2K问题了）			
19990806 JPM_Global_Data_Watch_Mo_1999-08-06_19990806	G3——美国、德国、日本——的增长都很强。		联储在8月份可能继续加息。ECB不急于收紧货币政策。	
19990813 GS UEA Hot Money Heading Home	零售有放缓迹象，从上半年5%放缓至3-4%。就业繁荣仍然没有带来通胀迹象。			
19990818 FOMC Greenbook_Password_Removed	当前市场在广泛担忧Y2K问题。1998年的流动性冲击还历历在目，当前即使是高评级企业也在发债囤积流动性。长端利率的上升意味着总需求将比六周前预计的要偏弱一些。			
19990820 FOMC Bluebook_Password_Removed	"上一次会议neutral倾向让市场意外，收益率下降10-15个点，但7月22日的听证会以后，收益率把这一些降幅都回升了。（总体看，这六周的股票和国债都是range bound，在neutral以后股债同涨，听证会以后股债同跌）
    过去六周各方面的信用利差都在扩大，因为Y2K让企业融资计划提前。"		市场预期的加息路径与六周前差不多。	
19990820 GS UEA Labor Market Strains Justify Fed Monetary Restraint	总体来说，经济没有放缓的迹象。就业市场特别繁荣	Core CPI仍然温和，没有通胀上升的迹象。	联储可能加息，但也不是绝对肯定，因为毕竟CPI温和，联储还可以再等等，而且最近信贷利差扩大。但我们认为更加可能是加息，Y2K意味着再往后更难加息，而全球经济回暖，就业市场紧张，都需要加息。	（GS也在讨论美元。最近的美元走弱引发广泛讨论）
19990824 FOMC Transcript_Password_Removed	"格林斯潘：
    我最近愈发担心Y2K方面出问题… BAA真实利率已经比年初上升了1pp。That's a fairly substantial amount of tightening that has taken place. My own perception is that it is likely to be adequate for our purposes...

（格林斯潘主要是表达两个point，第一，企业债利率上升幅度较大，加息效果已经不少了。第二，生产率进步背景下，通胀已经没有迹象，不着急）"	"格林斯潘：
   Inflation is still a forecast.（然后讨论很多、很详细的CPI分项）… until we see some slowdown in productivity growth, then the argument that inflation is about to bite us is not credible."	"格林斯潘：
    建议symmetry，反正这也不限制我们下一次的加息。（格林斯潘感觉已经加的差不多了）"	（竟然还有一票反对，我看了看反对票委的发言，是希望不加息，因为他相信生产率进步比数据体现的更快）
19990827 GS UEA The FOMC Implies That It Is Done	最新数据显示美国增长仍然很强。耐用品订单在7月份强劲上升。		"联储如期加息，但neutral立场超预期，这释放的信号加息已经足够了。
   但是，我们认为就业市场紧张、增长仍强，联储最终仍要加息。
    退一步讲，当前加息50bp也不过是把去年降息的75bp收回来一些（也不能完全这么讲，毕竟长债利率已经上去不少了）"	
19990827 JPM_Global_Data_Watch_Th_1999-08-27_19990827	全球仍在广泛复苏。			
19990901 BCA, The Bank Credit Analyst SHOULD INVESTORS FEAR A FALLING DOLLAR	"整体而言，向前看6个月，经济、股市都可能会走弱。总之，the days of the so-called ""goldilocks eonomcy"" seems numbered.
    当前经济处于过热状态已经是非常显然的，包括持续收紧的就业市场，飞涨的贸易逆差，高位上涨的股市，这些不平衡都意味着现状的不可持续。曾经有人认为这些不平衡将self-limiting, such hopes have long since been dashed. 当前的经济是Late-cycle overheating的典型症状，联储也意识到这一点（其实并未意识到这一点，格林斯潘仍在强调通胀看不到），但联储行动缓慢。"	"国内增速依然偏快，而全球通缩压力已经大幅消退，这意味着通胀倾向于上升.
    1997年亚洲金融危机给美国输入了通缩，从terms of trade角度而言这对美国是好事（Gavekal也展示了那个图：工资上升在1997年以来没有推升通胀，这在历史上是首次）"	"联储还要继续加息25-50bp。
    去年联储降息有充分理由，但这些理由已经不存在了：油价、商品价格回升，美元走弱，全球贸易走强，去年秋天那种金融危机的气氛已经消散了。"	股市。股市盈利在2000年可能顶多是个位数，这比市场预期的要低的多。当前M&A boom是对股市的强劲支持，当前股票的大买方是企业本身。
19990901 PIMCO Principled Populism _ PIMCO	"（这是第一篇Paul McCulley的Fed Focus）
    当前的股票和企业债市场的估值出现不匹配，the equity risk premium too thin and the credit risk premium too wide. (Credit用的是bank bond valuation, the foundation of the swap market, which is the foundation for high-grade credit swaps). 这种估值分化的关键在于the differential impact of the threat of preemptive Fed rate hikes. 
    联储对于股市的威胁是不可置信的。For stocks, preemptive Fed rate hikes are tolerable ""tough love"", as long as they don't threaten recession. The Fed has laid down a threat that it doesn't have the flexibility to enforce. 这种道德风险问题，paradoxIcally produced a yet stronger ""greater fool"" rationale for buying stocks.
    联储预防性加息可以威胁信用债市场。For corporate bonds, however, preempitve Fed rate hikes carry the perpetual threat of a liquidity crisis. 对于债券投资者，联储是有可能通过产生一个liquidity crisis to preemptive expected inflation. 债券市场面临carry over risk. （这里有Y2K的问题）
（我来翻译一下，其实联储有动力通过加息来抑制经济，但如果有软着陆预期的情况下，股市并不会受到打压，但债券市场却被持续打压。说到底，联储的加息工具并不时刻1999年的宏观市场背景，这个问题McCulley在后面反复论述。我至今仍然认为McCulley对于2000年股市泡沫的理解是最为深刻的）
    联储应当直接瞄准股市投机，而不通过加息来让那些没有投机股市的破产或者产生失业。联储应当利用监管工具，impose quantity restriction on credit creation, 提高股票的margin requirements等。
   如果联储继续这样预防性加息，那么应当卖出股票和credit，买入cash和长期国债。如果按照我的建议，联储推出数量监管工具，那么应当卖出股票，买入credit。"			
19990901 PIMCO Wrap Wrap WrapIts All In The Wrapper _ PIMCO	"最近Junk bonds违约率大幅上升至7%，这虽然比1991年衰退时期的10%要低，但要知道这可是在3-4%的繁荣增长情况下的违约率啊，要是经济真的进入衰退——unlikely but no impossible——那HY市场前景该会如何呢。（HY利差仍在高位，虽然在收敛；这个违约率的数据还是真的有趣，这个在haver看不到。
    Current defaults, to be sure, are a result of loose underwriting standards during the homstretch of a near nine-year economic expansion.企业过去以来持续发债，发债被看作是取得高利润的办法，而忘记了这些债是需要还的。当利率在过去12个月提高以后，企业债市场就面临风险。
    当前的安全资产是AAA政府和机构债，国债也是安全标的。
（Gross非常看空HY，认为长期繁荣与长期债务扩张，加上最近的加息，让HY市场面临风险）"			
19990903 GS UEA The GSFCI Still Accommodative Despite Fed Tightening	"需求依然很强，汽车和新屋销售都很强。NAPM也录得54.2%的较好水平。
    我们重新修改了GSFCI的计算方法。（让我很吃惊的是，这次修改以后，GSFCI的修改前路径跟最新路径可以说是大相径庭！FCI的根本逻辑是金融条件作用于增长，但增长其实受到很多因素的影响，FCI只是其中一个，这种机械式的办法并不可靠）"			
19990917 GS UEA Technology and the Economy	"零售销售，IP，房地产数据均非常强劲，企业加库存可能正在加速，我们上修了Q3和Q4的GDP数据。
    我们研究发现，tech部门已经占到名义GDP的5%，已经超过了居民建筑业4.5%和汽车3.6%。"	Core retail price超预期的温和，这意味着联储可能在10月5日的FOMC按兵不动。		
19990917 JPM_Global_Data_Watch_Fe_1999-09-17_19990917	油价在过去一个月快速上涨，WTI已经涨至25美元，预计在2000年将上涨到30美元。			
19990924 GS UEA The United States Economy As Good As It Gets	当前贸易逆差加重了对美元走弱的市场关注，但美元走弱的问题更多的实际上是日元的走强。此外，高油价、美国内需较好以及Y2K导致的补库存需求都导致美国进口旺盛。			
19990924 JPM_Global_Data_Watch_Th_1999-09-24_19990924	欧元区的增长动能保持较好，EM政策制定者不急于收紧财政政策。			
19990929 FOMC Greenbook_Password_Removed	"经济增长比我们两周前估计的还要强。尽管高房贷利率一直了房地产，但国内内需很强，而且库存开始回暖，最近对外出库也在改善。
    总体来看，1999Q1-Q3的平均增长在3.5%左右。如果股市没有走弱，那么当前的增长趋势会延续下去。"	尽管就业市场偏紧，油价上涨，但Core CPI却平稳。		
19991001 BCA, The Bank Credit Analyst THE CRUDE OIL & NATURAL GAS OUTLOOK GOOD, AND EVEN BETTER	"当前美国经济仍然没有放缓迹象，因此金融条件需要继续收紧，美联储在未来6m预计加息25-50bp。

[美股愈发脆弱]
    当前的股市上涨愈发依靠a narrow list of large high-teck stocks. 如果剔除tech, SP500在1998年初以来甚至趋势性是下降的。
    今年利率的上升并没有抑制股市，收益率上升伴随着的是经济向好、盈利改善。有关New era的说法支持了对于科技股的信心。9月末，Steve Ballmer——微软的主席——指出科技股的估值是absurd, emperor has no clothes，但格林斯潘并没有指出这个观点。更加具有讽刺意义的是，最新的一本书叫做Dow 36,000，这引起极大的主意（呵呵呵呵呵呵，到现在也没有达到）。这种书是极度乐观情绪的典型标志。
    当前许多估值趋势已经不佳。SP500已经略微低于200日均线，一些传统领先性行业已经跌破趋势，例如Brokers、Auto sectors。唯独科技估尚在趋势线上。
    当然，通胀下降、科技进步等系统性的提升了股市估值。我们预计股市会相比9月末下跌10-20%，大幅和长期的熊市应该不至于，毕竟通胀内在压力不大，而且生产率进步的长期趋势仍在。此外，牛市心理仍在，实际上华尔街的策略师们已经在说当前的股票估值已经有价值了。

[经济明显过热]
    当前经济增长仍然太强，消费、企业投资都强，库存也转暖。房地产虽然不再正贡献，但房地产整体活动水平仍高。
    不平衡的迹象非常之多（然后讨论了大家都知道的那些不平衡）。
    唯独缺少的不平衡迹象就是还没有看到通胀。"		"联储公开表示不会也应该盯住资产价格。
    最近股市有所遇冷，这应该让联储轻松了一些。如果股市维持当前形势(不要再涨).
    最近美元的上涨对联储影响有限。联储很少对美元作出反应，特别是最近通胀本来就较低的情况下。"	"股票。当前我们的Composite Monetary Indicator给出了tentative SELL信号，这是1994年以来的首次SELL信号。The odds of a full-fledged cyclical correction are extremely high（我的天，科技股正是从11月开始最后起飞的。为什么？BCA的这个预测真的是很蛋疼）。
    当前股票投资者认为联储不会打压股市，因此上行风险无限；联储却会救市，因此下行风险有限。这是一个典型的道德风险问题。
   中性配置债券（逻辑跟几个月以来的没有大变化）。

    当前的周期阶段，通常对于金融资产是bearish的。"
19991001 FOMC Bluebook_Password_Removed	"六周前的加息以及symmetry都符合市场预期，对市场冲击不大。
   过去六周国内外增长数据都很好，不过CPI数据温和。
   尽管企业盈利向好，但investors appear to have become more cautious in assessing the outlook for business finances.

（整体来看，过去6周是range bound。科技股高位震荡，略微回落但趋势向上，但道琼斯回落，且道琼斯已经看起来有点趋势性回落了。国债收益率基本走平，高评级利差走平，HY利差持续回升。美元走弱明显，大体反应的是非美经济体回升明显）"		加息预期路径没有变化。当前市场对于10月份本次加息的预期概率较小，预计2000年至少加息25bp。	
19991001 GS UEA Questions and Answers on Treasury Debt Buybacks			考虑到当前市场的紧张情况，联储在10月初的FOMC应该不会加息。	
19991001 IMF World Economic Outlook and the Challenges of Global Adjustment	"1999年上半年美国经济超预期，如果持续到2000年2月，则是19世纪以来最长的expansion。尤其是，最近两年生产率进步，这是经济mature phase少见的现象。财政政策也很正统，财政盈余。
    增速需要下降，这一方面用来抑制通胀上升压力，另一方面也可以控制外部失衡。
    我们基准假设是美国经济可以实现soft landing。"	技术进步压制了通胀，近期商品价格和美元上涨也边际上压制了通胀。但随着后两者效果减退，通胀压力会回升。		
19991001 PIMCO State Of Mind _ PIMCO	"（从增长和通胀两个角度来论证，联储不应该大幅加息）
    当前看起来有很大的不平衡，也就是经常项目逆差，但国外资本的涌入是为国内的企业投资和房地产来融资，而不是1980s为政府赤字融资，政府赤字并没有生产性。
    通胀方面，1990s年代是持续的全球周期非同步，美国一枝独秀，而欧洲、日本、EM则轮番出现问题，现在终于可能出现全球同步繁荣了。这也意味着美国低通胀阶段是不可持续的，后面将迎来一段时间的通胀上升。通胀上升本身并不是不好，price stability is a state of mind，当前通胀总体趋势是向下的。
    然而，全球繁荣也可以带来的联储暴力加息来抑制增长，if the Fed mistakenly pursues a blood-letting policy. 这种可能性是存在的，谨慎的投资者，包括我们正在为这种可能性做准备。
（McCulley认为联储不应该加息，但又预测联储将会加息）
（一个重大感受：预测那些政策制定者的失误，将带来重大交易机会）
    "			
19991005 FOMC Transcript_Password_Removed	"（一个很深的感受是，格林斯潘依然大篇幅的在强调生产率的持续进步没有被模型所捕捉，在引用证券分析师的盈利预期走势，在引用乐观的公司高管的看法，在声称通胀并没有看到）

格林斯潘：  
    I think it is important for us to recognize that this is a very unusual period… We do know, as Jack Guynn mentioned, that a lot of people in the technology area are saying that we are only at the beginning of a big productivity growth process."			
19991008 GS UEA Price and Labor Cost Data Key for Fed and Markets	"未来一段时间，通胀数据将直观重要。
    由于Floyd飓风的原因，NFP可能受到扰动，NFP大幅下降。家庭部门调查显示就业仍然很紧。"		 联储采取了soft bais toward tightening	
19991015 GS UEA Housing Activity Down But Not Out	"当前仍然没有经济放缓的迹象。零售数据有分项扰动，飓风也扭曲了一些数据。
    要看联储紧缩是否让经济放缓，天然的会看房地产部门。确实，许多房地产分项，如房地产新开工、建筑业，房贷申请，都在过去几个月回落。但是，房地产只是支持力度减弱，而且房贷利率本来上升幅度也不算大，而且现在房地产部门似乎对房贷利率的敏感度也在下降。"			
19991022 GS UEA Labor Market Strains Heighten Business Cycle Risks		9月份CPI数据大体符合预期，比较温和。联储会关注10月底公布的ECI数据。	"FOMC当前可能倾向于加息25bp。
    联储将对就业市场格外敏感，在10月5日FOMC提及""a decreasing pool of workers willing to take jobs“"	
19991029 GS UEA The Interest Rate Outlook OK for Now, but Higher Later	"GDP数据显示增长强劲，而ECI数据却显示几乎没有通胀压力（最棒的组合）。
    新屋销售月度数据大幅下跌。"		格林斯潘最近讲话较为友好，股债随之同涨。	预计收益率还要往上走。当前增长还是太强，金融条件仍然宽松，看起来股市难以下跌，美元也难以大幅上涨，只能依靠收益率继续上升了。
19991029 JPM_Global_Data_Watch_Wo_1999-10-29_19991029	全球贸易繁荣，证实了全球复苏。			
19991101 BCA, The Bank Credit Analyst	"我们的基准估计是软着陆，但当前美国经济有大幅金融不平衡，可能导致动荡。
  我们当前的前景是比较良性的relatively benigh. 我们预计温和的继续加息，股票下跌10%左右（这个幅度也就是所谓调整），这足以让通胀压力下降，然后债券收益率会大幅下降，然后增长软着陆，这对应着企业盈利不会大幅下降。在收益率下降的支持下，股市调整以后会重新开始上涨趋势。
  上述良性前景的风险是，当前有大量的不平衡，过度仔细会自我强化。

（其实自己已经给自己提了很好的问题。那就是，为什么这个看法不正确。问题就在于没有看到反身性）（Paul McCulley就看到了吗？其实也没有完全看到，否则他就不会在2001.1主张考虑买入风险资产了。不过，McCulley虽然看到了联储加息无助于抑制股市，但却加深了hard landing的尾部风险，这一层逻辑已经很好了）（换句话说，实在太少人看到科技股会在2001-2002年下跌那么厉害了）
（为什么格林斯潘在2001年并没有被喷？原因可能在于，人们本来也不认为联储有义务通过利率政策来抑制股市，股市投资是咎由自取。但2007年就不一样了，在逻辑上，房地产跟低利率实在太相关了，而且后来还发生了金融体系崩盘，这些都应该最终由联储负责，这也是为什么联储后来承担金融稳定责任的原因。之所以联储这么快就开始承担宏观审视职能，恰恰说明人们是认为联储应该有这个职能的）"		当前的货币条件仍然不足以让经济放缓，联储未来几个月还要再加息50bp。	"我们从中性转为高配债券。当前的周期背景确实非常不利于债券——增长强、通胀风险在上升、联储在加息、贸易逆差大。但是，债券收益率显示已经极度低估了，周期性恶化的前景已经基本被定价。虽然收益率下降还不在眼前，但向前看12个月应该会不错。当前的收益率是绝佳的买入债券的机会。
  历史上，收益率掉头往下都需要降息。但是，再考虑当前通胀没有失控的威胁，而且股票随时可能崩盘，因此timing收益率的拐点是非常困难的。历史上，也很难timing收益率的拐点。收益率是对经济数据最为敏感的。
  此外，我们还建议买入off the run，因为Y2K的流动性问题，off the run的低估程度更高。
  建议低配股票。当前股票的周期指标是负面的，而且估值高涨的科技股非常脆弱。当前75%但eNYSE股票都低于30w均线。在收益率上涨情况下，股票依然上涨，这需要盈利的支持，但盈利前景并不好。"
19991101 PIMCO Half Brainer _ PIMCO	美国Priveate Net saving/GDP在1995年以来持续下降，现在非常负（这个图不错）。这说明，近期的消费并不来自收入，而是来自不断上涨的股市的价格效应。一旦股票不再按照20%的速度上升，那么消费增速会下降，利润增速和经济增速也会下降。繁荣建立在繁荣自己身上。（这个逻辑已经被说了太多遍了）			我们认为长端利率的6.5%是顶部。
19991105 GS UEA U.S. Economic History Rewritten	美国近期数据mix。失业率再创周期新低4.1%，工作小时数增速上升，但工资没有上升压力。Fed加息存疑。消费边际走弱，但工业活动solid。			Fed加息存疑，刺激股债齐涨。
19991105 JPM_Global_Data_Watch_Gl_1999-11-05_19991105	(报告很关心商品价格)全球经济向好，支持全球商品价格。11月Fed是否加息是close call。近期商品价格略弱，工资温和，通胀压力less pressing，但Fed不确定需求是否已经走弱。			
19991112 GS UEA  Can the Bond Market Do the Fed's Dirty Work	"随着衍生品市场的兴起，债券投资者对Fed政策的预期可以体现在长端收益率上。在1995年以来，虽然短端政策利率变动很小，但长端利率变动很大，这是市场over predict了联储政策，帮助联储对经济进行了冷却。然而，这种过度的predict是self defeating的。如果长端过度反应了，那么短端就没有必要再调整了。即过去的这种债券市场情况是动态不一致的。
    随着债券市场投资者的自我学习，债券市场者不会再帮忙，长端的over react将下降。近期Fed加息预期下降，长端利率已经下降，这为政策加息提供了空间。预计本次将主要由短端利率的上升来推动紧缩，预计2000底联储利率会升值6.25%。1999-2000的ffr比1995-1995的更加volatile。
（高盛判断错误。2000年债券市场继续lead ffr，债券投资者依然非常有预见性，以至于2000底的时候联储还未降息，长端收益率已经大幅下降，债券已经处于高估状态)"			
19991116 Fed Bluebook		对通胀的预测不确定性较强。如果不加息，也不是不行，况且到明年初再加息也来得及，因为长期通胀预期仍然稳定。	"Blue Book假设在2000年加息两次，与此同时债券收益率上扬、股票市场走平。这种情况下，增长会略微下降至潜在增速以下。
    "	"10月份的FOMC采取了偏紧的偏向，这超出市场预期，市场利率上升。后来工资弱，收益率下来了。
  市场对本次的加息总体认为是一个close call。"
19991116 Fed Greenbook	"我们预计在2000-2001年，随着利率上升和股票市场走平，内需扩张将受到限制，但外部需求稳健，美元走弱，将导致美国增长略微放缓至潜在增速以下水平，失业率将微弱上升。届时再紧缩劳动力市场，将会too little and too late来避免通胀上行。
    我们当前仅看到微弱的内需放缓的迹象。最明显的迹象是高房贷导致的home sales走弱。随着股市刺激效果的减弱，预计消费也会走弱。"	"近期工资增速缓慢，我们怀疑这是去年通胀下行的滞后影响。随着当前油价上升，劳动力工资在上升，通胀压力在积累。我们预计Core CPI在明年从2%上升至2.75%左右。
  当然，当前较低的plant utilization给价格带来下行风险。我们也考虑了capacity对通胀的影响，但发现在回归中capacity不够显著，因此我们给capacity的权重不高。"		从10月份以来股市上涨，源于corp earnings的大幅yoy上升。
